date,open,high,low,close,volume
1998-12-22,5.914793476579543,5.914793476579543,5.83230447769165,5.83230447769165,15800
1998-12-23,5.826196598870517,5.826196598870517,5.795644966852029,5.807865619659424,48200
1998-12-24,5.908685072887042,5.92701605036239,5.896464421236811,5.914795398712158,47600
1998-12-28,5.902571116652444,5.9147917607863,5.87507504029573,5.88424015045166,6200
1998-12-29,5.908684553724997,5.997284643349088,5.908684553724997,5.982008457183838,24000
1998-12-30,6.012559236630597,6.027835420643879,5.933125019073486,5.933125019073486,140800
1998-12-31,5.911740779876709,5.911740779876709,5.872023287919027,5.911740779876709,43200
1999-01-04,5.868965206817152,5.914792253189728,5.792585801677544,5.8170270919799805,218600
1999-01-05,5.862856808821518,5.887298107147217,5.83841551049582,5.887298107147217,222400
1999-01-06,5.905626811292934,5.966730033624526,5.905626811292934,5.948399066925049,82000
1999-01-07,5.94840181520696,6.00950506576949,5.914794654452924,5.92701530456543,444600
1999-01-08,5.945340893683522,5.966727384950431,5.887293231180764,5.960617065429688,271800
1999-01-11,5.927014313900285,5.927014313900285,5.780366537061515,5.801753044128418,258000
1999-01-12,5.795643978377676,5.890353648537084,5.774257466667577,5.804809093475342,14200
1999-01-13,5.768145913513093,5.8872976056457125,5.768145913513093,5.844525337219238,51800
1999-01-14,5.762034371815408,5.820082811071945,5.719262112427594,5.746758937835693,40000
1999-01-15,5.768143523685516,5.82619195115856,5.752868092806625,5.774253845214844,13800
1999-01-19,5.95145709780612,5.969788074493408,5.86591253993211,5.969788074493408,24400
1999-01-20,5.975897022533515,6.009504178324663,5.920904105148238,5.945345401763916,65400
1999-01-21,5.988118245723809,5.988118245723809,5.923960208892822,5.923960208892822,41000
1999-01-22,5.884241767105509,6.0064482420194345,5.859800472122724,5.9636759757995605,41600
1999-01-25,5.963673673658066,5.963673673658066,5.740647315979004,5.740647315979004,27200
1999-01-26,5.804805666021614,5.8536882400512695,5.716206373537306,5.8536882400512695,30400
1999-01-27,5.838412897191123,5.838412897191123,5.76508903503418,5.76508903503418,15600
1999-01-28,5.780364166744172,5.853688025096106,5.774253845214844,5.774253845214844,35200
1999-01-29,5.7742541448593485,5.798695432244997,5.710096138416471,5.76508903503418,79600
1999-02-01,5.79869425341967,5.79869425341967,5.719260085564606,5.752867221832275,24400
1999-02-02,5.679546318521705,5.691766966064636,5.6031668984338205,5.676490783691406,55400
1999-02-03,5.645938509792026,5.713152063480027,5.645938509792026,5.7070417404174805,65000
1999-02-04,5.69787559797013,5.69787559797013,5.621496200561523,5.621496200561523,36400
1999-02-05,5.642882739068443,5.673434349063701,5.624551773071289,5.624551773071289,16200
1999-02-08,5.627606561126357,5.664268493120665,5.615385917128254,5.624551773071289,26600
1999-02-09,5.636773798807041,5.7009318225796255,5.624553151813301,5.648994445800781,24400
1999-02-10,5.648994245813525,5.667325215655176,5.606221982849672,5.60927677154541,16000
1999-02-11,5.624551473685678,5.664268191620999,5.606220508664251,5.633716583251953,8800
1999-02-12,5.661214426509618,5.661214426509618,5.517621468288501,5.542062759399414,206000
1999-02-16,5.615387899644761,5.642884731292725,5.600112462198586,5.642884731292725,118600
1999-02-17,5.627610747400781,5.719265645566917,5.6031694412231445,5.6031694412231445,114800
1999-02-18,5.627609119438797,5.78036723885896,5.603167820331572,5.703988552093506,28000
1999-02-19,5.673436352074252,5.700932437833037,5.621498223801066,5.642884731292725,19200
1999-02-22,5.664270791559034,5.826194763183594,5.664270791559034,5.826194763183594,13800
1999-02-23,5.774256327708703,5.774256327708703,5.621498223801066,5.642884731292725,30200
1999-02-24,5.661214004226514,5.780364916559964,5.661214004226514,5.694820404052734,132000
1999-02-25,5.658155804140526,5.664266123583443,5.5481700541680326,5.572611331939697,47200
1999-02-26,5.612332953532517,5.612332953532517,5.526788417736947,5.606222629547119,22800
1999-03-01,5.560395564653177,5.560395564653177,5.4901272024401,5.523733615875244,16800
1999-03-02,5.560393126352087,5.575669304588727,5.441242218017578,5.441242218017578,20600
1999-03-03,5.44429874420166,5.477905899517859,5.44429874420166,5.44429874420166,9400
1999-03-04,5.490126123122687,5.529842853546143,5.474849941190435,5.529842853546143,11400
1999-03-05,5.621496239127305,5.633716883125408,5.557338231081723,5.624551773071289,42000
1999-03-08,5.600116084293228,5.600116084293228,5.532902475100831,5.560398578643799,78200
1999-03-09,5.566504567510124,5.587891072162991,5.511511657402999,5.545118808746338,11600
1999-03-10,5.520677910927646,5.548173995006791,5.517622376091556,5.526788234710693,68000
1999-03-11,5.532897163833019,5.603165496681167,5.517620985281455,5.569559097290039,19200
1999-03-12,5.648991973209245,5.655102294031598,5.603164194097215,5.630661010742188,15600
1999-03-15,5.655104731419477,5.670380167114787,5.6214975794672455,5.645938873291016,31800
1999-03-16,5.627606561126357,5.655103383066546,5.594000163076032,5.624551773071289,20200
1999-03-17,5.636770059034621,5.648990697920453,5.572611331939697,5.572611331939697,24200
1999-03-18,5.560392845659609,5.6551032066345215,5.560392845659609,5.6551032066345215,27600
1999-03-19,5.627722893211105,5.658475477327013,5.550841808319092,5.550841808319092,102000
1999-03-22,5.550843849088288,5.61542392407682,5.550843849088288,5.569295406341553,76800
1999-03-23,5.52008838878244,5.52008838878244,5.360174975581322,5.394002437591553,68800
1999-03-24,5.430904680215601,5.492409829481916,5.363249016022655,5.467807769775391,47400
1999-03-25,5.470885649770368,5.470885649770368,5.418605876022752,5.4493584632873535,15200
1999-03-26,5.366325315207482,5.390927377968787,5.3447981348936535,5.378626346588135,24600
1999-03-29,5.390927058757796,5.421679635388488,5.350948333740234,5.350948333740234,29000
1999-03-30,5.301746092110037,5.329423796294951,5.264842987060547,5.264842987060547,23000
1999-03-31,5.3017442343664944,5.3109703827938,5.252540111541748,5.252540111541748,41000
1999-04-01,5.274068143934303,5.363250255584717,5.274068143934303,5.363250255584717,22400
