date,open,high,low,close,volume
2004-06-23,3.695740369497771,4.262420371512353,3.634144696672808,4.23778247833252,43574400
2004-06-24,4.324016112059962,4.358510008939812,4.065314470118413,4.129374027252197,8887200
2004-06-25,4.06777830520627,4.1269100949503486,3.890382701005187,3.892846584320069,6710000
2004-06-28,3.9421229362487793,3.9938630742169607,3.804148530093784,3.9421229362487793,2270800
2004-06-29,3.942123132615511,4.114591207642519,3.900238055533964,4.040676116943359,2112000
2004-06-30,4.040676169717003,4.173723052750543,3.9495148342497584,3.9593698978424072,2087600
2004-07-01,3.961833812949125,3.991399943839228,3.917484851582823,3.949514865875244,1754800
2004-07-02,3.966761451305388,4.183578014373779,3.954442034692717,4.183578014373779,993200
2004-07-06,4.171259411661595,4.188506126403809,4.06038700269346,4.188506126403809,1216800
2004-07-07,4.163867591093401,4.163867591093401,3.954442199335515,4.01850175857544,1787600
2004-07-08,4.018501743896172,4.018501743896172,3.858353081350226,3.878063678741455,2179200
2004-07-09,3.927340067481909,4.082561194024907,3.917484769049124,4.040676116943359,596800
2004-07-12,4.089952426213728,4.14662032767038,3.979080036461452,4.126909732818604,780800
2004-07-13,4.124446256487857,4.124446256487857,3.9618337154388414,3.9618337154388414,1674000
2004-07-14,3.9544420659467776,3.9544420659467776,3.8386423684985993,3.855889081954956,2366000
2004-07-15,3.8805276080319024,3.8928467902892674,3.6809575133753927,3.779510736465454,1806000
2004-07-16,3.794293232151915,4.040675915667464,3.685884954791362,3.9421229362487793,3278800
2004-07-19,3.9544422946827513,3.984008426559333,3.9002382678363614,3.944587230682373,954800
2004-07-20,3.944587133065924,3.9864722113908826,3.826323313392848,3.956906080245972,2245200
2004-07-21,3.966761252527416,3.966761252527416,2.72252866822766,2.8826773166656494,25415200
2004-07-22,2.8457202909948074,3.2473241285176235,2.7841246147177285,3.198047399520874,9824800
2004-07-23,3.1906558251498063,3.3261663531998664,3.1413793335776514,3.212830305099488,1674400
2004-07-26,3.338485850387921,3.338485850387921,3.173409411791586,3.271962404251098,1286000
