date,open,high,low,close,volume
2000-08-11,300.07217494419643,329.49101562500005,282.4208705357143,308.8978271484375,792528
2000-08-14,308.1623532772064,308.8978242874145,282.4208679199219,282.4208679199219,80228
2000-08-15,286.0982028921855,291.2464996023277,282.4208480992268,285.3627319335937,48422
2000-08-16,283.891840616862,307.4269154866537,283.891840616862,291.2465515136719,42166
2000-08-17,288.3046360015869,294.18840408325195,280.9499258995056,282.4208679199219,47247
2000-08-18,294.9238846957944,338.3166757108864,291.2465295250239,336.8457336425781,60400
2000-08-21,354.49701982663004,382.4449176552855,328.0200639889564,357.4389038085937,66547
2000-08-22,361.8517066107856,369.2064160947446,317.72344970703125,317.72344970703125,33878
2000-08-23,319.1944741469163,323.6073009784405,300.07222454364484,305.9559936523437,17925
2000-08-24,304.4849383892791,307.4268218519774,283.8917541503906,283.8917541503906,18441
2000-08-25,295.6593284236575,304.4849800183935,285.36273489646544,303.0140380859375,20113
2000-08-28,315.51706630161834,318.8266858782087,294.1884068080357,308.8978271484375,19491
2000-08-29,316.2526196631316,317.7235620801694,297.1303682416399,314.7816772460937,22728
2000-08-30,314.04615051000656,345.6714068845505,311.8397372745732,333.90386962890625,19891
2000-08-31,354.4971551490106,388.32883385617765,350.08432749155406,380.97412109375,87397
2000-09-01,379.5030510312035,382.4449351477245,353.02609398251485,370.6773986816406,27738
2000-09-05,372.1483558746705,382.4449507012424,364.793645284262,366.26458740234375,23025
2000-09-06,379.5030928580992,382.4449772988596,358.909901772776,364.7936706542969,20559
2000-09-07,376.561277173913,376.561277173913,314.7816926375679,338.3167724609375,23959
2000-09-08,335.7425628049033,341.2585961478097,323.6072894505092,329.4910583496094,15956
2000-09-11,325.07822163899743,329.49104817708337,317.7235107421875,326.5491638183594,34547
2000-09-12,319.92994528550366,325.07824325561523,303.0141090979943,305.9559936523437,33853
2000-09-13,300.0721527099609,308.8978042602539,291.246501159668,294.1883850097656,10363
2000-09-14,326.54905813433265,326.54905813433265,294.1883406615609,298.6011657714844,8109
2000-09-15,295.6593933105469,305.95598909748134,294.18845105527055,295.6593933105469,3600
2000-09-18,308.8977635833266,311.83964704602494,280.9498706876923,283.8917541503906,18659
2000-09-19,308.16220898098413,308.8976796468099,253.0019090440538,264.7694396972656,48038
2000-09-20,270.65341738045936,272.1243598662227,229.4670277790851,244.17645263671875,24103
2000-09-21,242.70545465805952,253.00204970415905,239.763570359174,250.06016540527344,25247
2000-09-22,225.7896568704639,254.473033476158,222.1123008953749,248.5892639160156,8456
2000-09-25,250.06012468148543,254.4729504111587,220.6412864836636,222.1122283935547,21066
2000-09-26,232.4087068712389,233.87964805396825,211.81553031302784,217.6992950439453,19634
2000-09-27,221.3767493512718,222.11222027934912,202.98997614933893,219.9058074951172,16756
2000-09-28,217.69939079284669,253.0019947052002,214.7575071334839,235.35069274902344,22041
2000-09-29,237.5571156891299,238.29258663553583,205.1963940472669,208.87374877929688,19125
2000-10-02,220.64139983233284,221.37687116510727,197.10631718355063,200.04820251464844,6888
