date,open,high,low,close,volume
1980-12-02,0.1216683164238929,0.124313100841798,0.1216683164238929,0.1216683164238929,100710400
1980-12-03,0.1203452208791602,0.1203452208791602,0.119022823870182,0.119022823870182,25177600
1980-12-04,0.1229907870292663,0.1243131851802333,0.1229907870292663,0.1229907870292663,22694400
1980-12-05,0.1190228992302477,0.1190228992302477,0.1163781136274337,0.1163781136274337,7590400
1980-12-08,0.1110885137408898,0.1110885137408898,0.1097654402256012,0.1097654402256012,5414400
1980-12-09,0.1097653945940582,0.1097653945940582,0.1071206107735633,0.1071206107735633,5824000
1980-12-10,0.1044759010145659,0.1044759010145659,0.100508727133274,0.100508727133274,5875200
1980-12-11,0.0978631816429948,0.0978631816429948,0.0952183976769447,0.0952183976769447,5440000
1980-12-12,0.0991856157779693,0.100508689311032,0.0991856157779693,0.0991856157779693,8153600
1980-12-15,0.1031534299254417,0.1044758167899074,0.1031534299254417,0.1031534299254417,6643200
1980-12-16,0.1031535130840393,0.1031535130840393,0.100508727133274,0.100508727133274,6630400
1980-12-17,0.0991856312999819,0.0991856312999819,0.0965408459305763,0.0965408459305763,4672000
1980-12-18,0.0991856157779693,0.1018310767439334,0.0991856157779693,0.0991856157779693,11251200
1980-12-19,0.1031534299254417,0.1044758167899074,0.1031534299254417,0.1031534299254417,10035200
1980-12-22,0.1031534299254417,0.105798213744077,0.1031534299254417,0.1031534299254417,1856000
1980-12-23,0.1057982891798019,0.1084430748842081,0.1057982891798019,0.1057982891798019,5696000
1980-12-24,0.1097654402256012,0.1124109011560264,0.1097654402256012,0.1097654402256012,2444800
1980-12-26,0.1110884919762611,0.1137332763780722,0.1110884919762611,0.1110884919762611,1459200
1980-12-29,0.1110885137408898,0.1124109011560264,0.1097654402256012,0.1097654402256012,1740800
1980-12-30,0.1124109104275703,0.1137333080414851,0.1124109104275703,0.1124109104275703,4364800
1980-12-31,0.1124108791323136,0.1137332763780722,0.1110884919762611,0.1110884919762611,2918400
1981-01-02,0.1137333288788795,0.1163781145015586,0.1137333288788795,0.1137333288788795,1574400
1981-01-05,0.1183620020747184,0.1203452551022239,0.1183620020747184,0.1183620020747184,5824000
1981-01-06,0.119022823870182,0.1203452208791602,0.119022823870182,0.119022823870182,6950400
1981-01-07,0.1137333080414851,0.1137333080414851,0.1124109104275703,0.1124109104275703,8806400
1981-01-08,0.1110885137408898,0.1110885137408898,0.1097654402256012,0.1097654402256012,3302400
1981-01-09,0.1097654718137587,0.1110885457097998,0.1084430739283561,0.1084430739283561,2470400
1981-01-12,0.1097654402256012,0.1124109011560264,0.1097654402256012,0.1097654402256012,3353600
1981-01-13,0.1124109104275703,0.115055695565691,0.1124109104275703,0.1124109104275703,4467200
1981-01-14,0.1163781136274337,0.1190228992302477,0.1163781136274337,0.1163781136274337,7923200
1981-01-15,0.1163781136274337,0.117700511473696,0.1163781136274337,0.1163781136274337,2521600
1981-01-16,0.1163781136274337,0.1190228992302477,0.1163781136274337,0.1163781136274337,3328000
1981-01-19,0.1163781136274337,0.117700511473696,0.1163781136274337,0.1163781136274337,4032000
1981-01-20,0.115055695565691,0.115055695565691,0.1124109104275703,0.1124109104275703,3507200
1981-01-21,0.1124108791323136,0.1137332763780722,0.1110884919762611,0.1110884919762611,985600
1981-01-22,0.1097654727812667,0.1097654727812667,0.1057982891798019,0.1057982891798019,1318400
1981-01-23,0.1084430739283561,0.1110885457097998,0.1084430739283561,0.1084430739283561,1382400
1981-01-26,0.1084430748842081,0.1084430748842081,0.1057982891798019,0.1057982891798019,1126400
