date,open,high,low,close,volume
2000-05-26,32.53414787923483,32.66812515258789,32.37784106032293,32.66812515258789,74800
2000-05-30,33.13706036783318,33.87393569946289,33.13706036783318,33.87393569946289,57600
2000-05-31,33.98558128620016,34.43217236749057,33.98558128620016,33.99674606323242,36000
2000-06-01,34.69453026717032,34.7671012878418,34.69453026717032,34.7671012878418,7000
2000-06-02,36.34136811280862,36.575828552246094,36.34136811280862,36.575828552246094,29400
2000-06-05,36.486500244514616,36.84377319672528,36.39718200646195,36.44184112548828,48400
2000-06-06,37.016823596167335,37.44666757398439,36.68746262615167,36.799110412597656,151800
2000-06-07,36.57581438931552,36.84376907348633,36.24087103410201,36.84376907348633,131000
2000-06-08,37.245702018135226,37.245702018135226,36.75445175170898,36.75445175170898,91400
2000-06-09,37.111720029916334,37.40200424194336,37.08939047514503,37.40200424194336,41600
2000-06-12,37.51366995972976,37.51366995972976,36.26321429440543,36.2911262512207,85200
2000-06-13,36.20179520197946,36.75445175170898,35.86126944911582,36.75445175170898,168200
2000-06-14,37.0559142139514,37.0559142139514,36.575828552246094,36.575828552246094,43200
2000-06-15,36.35252485507872,36.62047958374024,36.00083427371048,36.62047958374024,26800
2000-06-16,36.77676741496542,36.79909696409412,36.41949462890625,36.41949462890625,30200
2000-06-19,36.62046861420408,37.33501434326172,36.4529969589562,37.33501434326172,59200
2000-06-20,37.39083388357452,37.63645894939675,37.24569179922502,37.58063507080078,47000
2000-06-21,37.266964994190296,37.84786492815249,37.266964994190296,37.78083801269531,66800
2000-06-22,37.89254544886147,37.89254544886147,36.64137649536133,36.64137649536133,139600
2000-06-23,36.9988297098908,36.9988297098908,36.10513817100455,36.39558792114258,235800
2000-06-26,36.54083951738402,36.84246063232422,36.37327223130614,36.84246063232422,93600
2000-06-27,36.8983102999421,37.2222736661844,36.26155471801758,36.26155471801758,112800
2000-06-28,36.41796238147296,37.311654709852654,36.41796238147296,37.1776008605957,170600
2000-06-29,36.99886414244934,37.06589107024364,36.48499102935977,36.5967025756836,212200
2000-06-30,36.61902896249646,36.948577880859375,36.31740791857108,36.948577880859375,1171800
2000-07-03,36.864790805550506,37.46803283691406,36.82010621063469,37.46803283691406,15800
2000-07-05,37.2557775016573,37.26694864933396,36.9150574975192,37.04352569580078,138800
